道具ID	道具名称	类型	质量
201000	小还丹	1	1
201001	秘制小还丹	1	1
201002	极品小还丹	1	1
201003	大还丹	1	1
201004	秘制大还丹	1	1
201005	极品大还丹	1	1
201100	1级攻击药水	1	4
201101	2级攻击药水	1	4
201102	3级攻击药水	1	4
201103	1级防御药水	1	4
201104	2级防御药水	1	4
201105	3级防御药水	1	4
201106	1级生命药水	1	4
201107	2级生命药水	1	4
201108	3级生命药水	1	4
201109	1级加速药水	1	4
201110	2级加速药水	1	4
201111	3级加速药水	1	4
201112	1级变大药水	1	4
201113	2级变大药水	1	4
201114	3级变大药水	1	4
203000	红血包（小）	1	4
203001	红血包（中）	1	4
203002	红血包（大）	1	4
211000	1.5倍经验丹	1	4
211001	2倍经验丹	1	4
211002	3倍经验丹	1	4
211003	5倍经验丹	1	4
211004	多倍经验丹	4	4
211005	多倍经验丹	4	4
211006	多倍经验丹	4	4
211100	坐骑-敏捷升阶书	3	4
211101	坐骑-防御升阶书	3	4
211102	坐骑-生命升阶书	3	4
211103	坐骑-迅捷移动升阶书	3	4
211104	坐骑-禁锢升阶书	3	4
211105	坐骑-攻击弱化升阶书	3	4
211106	坐骑-致盲升阶书	3	4
211107	坐骑-晕眩升阶书	3	4
211110	武器-力量升阶书	3	4
211111	武器-攻擊升阶书	3	4
211112	武器-暴擊升阶书	3	4
211113	武器-破甲升阶书	3	4
211114	武器-一擊制敵升阶书	3	4
211115	武器-吸血升阶书	3	4
211116	武器-防禦無視升阶书	3	4
211117	武器-中毒升阶书	3	4
211120	星輪-智力升阶书	3	4
211121	星輪-命中升阶书	3	4
211122	星輪-閃避升阶书	3	4
211123	星輪-厚甲升阶书	3	4
211124	星輪-金剛不壞升阶书	3	4
211125	星輪-自愈升阶书	3	4
211126	星輪-遲鈍升阶书	3	4
211127	星輪-減壽升阶书	3	4
214016	普通体力丹	1	4
214017	元气散（10000）	1	4
214018	声望卡（300）	1	4
214020	声望卡（200）	1	4
214021	超级体力丹	1	4
214022	元气散（5000）	1	4
214023	声望卡（100）	1	4
214024	声望卡（500）	1	4
214025	声望（25000）	1	4
214026	元气散（1000）	1	4
214027	元气散（2000）	1	4
214030	声望卡（10000）	1	4
214031	声望卡（15000）	1	4
214101	2倍武器经验丹	1	5
214201	绝版升级丹	1	6
214202	逆天升级丹	1	6
214203	升级丹	1	6
214204	100级升级丹	1	6
214205	60级升级丹	1	6
214206	110级升级丹	1	6
214210	经验丹（20w）	1	6
214211	经验丹（45w）	1	6
214212	经验丹（80w）	1	6
214213	背饰升阶丹	1	6
214214	武器升阶丹	1	6
214215	二十万经验丹	1	6
214216	背饰升阶丹（7阶）	1	6
214217	背饰升阶丹（9阶）	1	6
214218	武器升阶丹（7阶）	1	6
214219	武器升阶丹（9阶）	1	6
214220	武器直升3阶丹	1	6
214221	坐骑升阶丹（7阶）	4	4
214222	坐骑升阶丹（9阶）	4	4
214223	1阶天罡丹	3	2
214224	2阶天罡丹	3	3
214225	3阶天罡丹	3	3
214226	4阶天罡丹	3	4
214227	5阶天罡丹	3	4
214228	6阶天罡丹	3	5
214229	7阶天罡丹	3	6
214230	8阶天罡丹	3	7
214231	9阶天罡丹	3	7
214232	天罡丹碎片	3	2
214241	低阶地煞丹	3	2
214242	中阶地煞丹	3	3
214243	高阶地煞丹	3	4
214300	两千万经验丹	1	6
214301	元气散（5000）	1	4
214302	元气散（8000）	1	4
214303	元气散（10000）	1	4
214304	元气散（15000）	1	4
214310	一亿经验丹	1	6
277777	声望卡（100）	1	4
277778	声望卡（1点）	1	4
299001	赎罪药水	1	4
300001	奇缘令	4	3
300002	60级紫色装备	4	4
300003	60级紫色装备	4	4
300004	60级紫色装备	4	4
300005	半神橙装	4	5
300006	半神橙装	4	5
300007	半神橙装	4	5
300008	龙珠	4	2
300009	真神金装	4	6
300010	超神红装	4	7
300011	一千元宝“一”	4	7
300012	一千元宝“千”	4	7
300013	一千元宝“元”	4	7
300014	一千元宝“宝”	4	7
300015	商城道具	4	4
300016	半神祝福值	4	5
300017	真神祝福值	4	5
300018	超神祝福值	4	5
300019	寻宝免费商城道具	4	4
300020	寻宝免费商城道具	4	4
300021	寻宝免费商城道具	4	4
300022	寻宝免费商城道具	4	4
300023	逆天血阳铁	4	7
300024	逆天神装	4	7
300025	逆天祝福值	4	5
300111	2次签到	4	2
300112	5次签到	4	2
300113	10次签到	4	2
300114	17次签到	4	2
300115	26次签到	4	2
300121	帮派礼包	4	3
300122	帮派元宝礼包	4	4
300151	打折礼包.坐骑	4	4
300152	打折礼包.背饰	4	4
300153	打折礼包.变身	4	4
300154	打折礼包.强化	4	4
300155	打折礼包.宝石	4	4
300156	打折礼包.神器	4	4
300157	打折礼包.洗炼	4	4
300158	首充中阶打折礼包	4	5
300159	首充高阶打折礼包	4	5
300161	6折禮包.变身	4	4
300162	8折禮包.变身	4	4
300163	6折礼包.战宠	4	4
300164	6折礼包.星轮	4	4
300201	初级成就宝盒.一	4	4
300202	初级成就宝盒.二	4	4
300203	初级成就宝盒.三	4	4
300204	初级成就宝盒.四	4	4
300205	中级成就礼包.一	4	4
300206	中级成就礼包.二	4	4
300207	中级成就礼包.三	4	4
300208	中级成就礼包.四	4	4
300209	高级成就礼包.一	4	4
300210	高级成就礼包.二	4	4
300211	高级成就礼包.三	4	4
300212	高级成就礼包.四	4	4
300213	黄金成就礼包.一	4	4
